metal,termination,ed,mcn,vad
Sc,0001,1.18,2.19,7.90
Ti,0001,0.70,3.05,4.65
V,110,0.38,3.77,3.15
Cr,110,-0.35,3.85,2.35
Fe,110,-0.84,2.39,1.59
Co,0001,-1.50,2.32,1.34
Ni,111,-1.59,1.39,1.16
Cu,111,-2.46,0.84,1.00
Y,0001,1.14,4.33,17.30
Zr,0001,0.72,5.22,10.90
Nb,110,0.10,5.64,7.73
Mo,110,-0.90,5.36,6.62
Ru,0001,-1.95,4.30,3.87
Rh,111,-2.10,3.44,3.32
Pd,111,-1.78,1.27,2.78
Ag,111,-4.04,0.75,2.26
Hf,0001,0.66,6.99,11.90
Ta,110,0.29,8.32,9.05
W,110,-0.77,8.71,7.72
Re,0001,-1.58,8.18,6.04
Os,0001,-2.23,6.21,5.13
Ir,111,-2.95,4.97,4.45
Pt,111,-2.42,2.65,3.90
Au,111,-3.36,1.61,3.35